Record,Date,UTC Time,Akcelerometr1,Akcelerometr2,Czujnik_temp1,Czujnik_temp2
       126, 8/03/2016,10:13:26,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       127, 8/03/2016,10:13:27,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       128, 8/03/2016,10:13:28,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       129, 8/03/2016,10:13:29,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       130, 8/03/2016,10:13:30,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       131, 8/03/2016,10:13:31,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       132, 8/03/2016,10:13:32,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       133, 8/03/2016,10:13:33,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       134, 8/03/2016,10:13:34,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       135, 8/03/2016,10:13:35,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       136, 8/03/2016,10:13:36,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       137, 8/03/2016,10:13:37,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       138, 8/03/2016,10:13:38,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       139, 8/03/2016,10:13:39,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       140, 8/03/2016,10:13:40,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       141, 8/03/2016,10:13:41,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       142, 8/03/2016,10:13:42,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       143, 8/03/2016,10:13:43,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       144, 8/03/2016,10:13:44,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       145, 8/03/2016,10:13:45,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       146, 8/03/2016,10:13:46,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       147, 8/03/2016,10:13:47,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       148, 8/03/2016,10:13:48,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       149, 8/03/2016,10:13:49,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       150, 8/03/2016,10:13:50,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       151, 8/03/2016,10:13:51,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       152, 8/03/2016,10:13:52,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       153, 8/03/2016,10:13:53,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       154, 8/03/2016,10:13:54,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       155, 8/03/2016,10:13:55,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       156, 8/03/2016,10:13:56,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       157, 8/03/2016,10:13:57,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       158, 8/03/2016,10:13:58,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       159, 8/03/2016,10:13:59,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       160, 8/03/2016,10:14:00,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       161, 8/03/2016,10:14:01,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       162, 8/03/2016,10:14:02,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       163, 8/03/2016,10:14:03,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       164, 8/03/2016,10:14:04,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       165, 8/03/2016,10:14:05,   5.500000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       166, 8/03/2016,10:14:06,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       167, 8/03/2016,10:14:07,   5.600000E-01,   6.200000E-01,   0.000000E+00,   0.000000E+00
       168, 8/03/2016,10:14:08,   5.700000E-01,   6.300000E-01,   0.000000E+00,   0.000000E+00
       169, 8/03/2016,10:14:09,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
       170, 8/03/2016,10:14:10,   5.600000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       171, 8/03/2016,10:14:11,   5.500000E-01,   6.000000E-01,   0.000000E+00,   0.000000E+00
       172, 8/03/2016,10:14:12,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       173, 8/03/2016,10:14:13,   5.500000E-01,   5.800000E-01,   0.000000E+00,   0.000000E+00
       174, 8/03/2016,10:14:14,   5.600000E-01,   5.900000E-01,   0.000000E+00,   0.000000E+00
